dataset,log_index,loss,grad_norm,learning_rate
mg,60,1.4603,0.10156038403511047,0.00011365823962098206
mg,61,1.4046,0.09972012042999268,0.00010886636350134905
mg,62,1.42,0.15036101639270782,0.00010411946640930938
mg,63,1.4244,0.12188423424959183,9.942273900713996e-05
mg,64,1.3972,0.12277504056692123,9.47813170972983e-05
mg,65,1.4241,0.08531702309846878,9.020027600649824e-05
mg,66,1.4042,0.1256442666053772,8.568462503591441e-05
mg,67,1.4204,0.08341536670923233,8.123930198358497e-05
mg,68,1.4084,0.05686827003955841,7.686916774500205e-05
mg,69,1.4232,0.0872611403465271,7.257900099779394e-05
mg,70,1.4383,0.09978649020195007,6.837349297631113e-05
mg,71,1.4009,0.09946243464946747,6.425724234183036e-05
mg,72,1.4122,0.13560254871845245,6.0234750153986346e-05
mg,73,1.4321,0.0959332212805748,5.631041494892882e-05
mg,74,1.4191,0.06111401319503784,5.248852792958801e-05
mg,75,1.4162,0.07392162084579468,4.877326827330719e-05
mg,76,1.392,0.06676700711250305,4.516869856197362e-05
mg,77,1.4151,0.057398486882448196,4.1678760339644933e-05
mg,78,1.414,0.10245044529438019,3.830726980252837e-05
mg,79,1.4313,0.10324828326702118,3.505791362602661e-05
mg,80,1.4122,0.11412938684225082,3.1934244933412124e-05
mg,81,1.4143,0.09658841043710709,2.893967941053898e-05
mg,82,1.3982,0.09073230624198914,2.607749157084067e-05
mg,83,1.4638,0.08586402982473373,2.335081117469777e-05
mg,84,1.4155,0.06957050412893295,2.0762619807090657e-05
mg,85,1.4135,0.14559778571128845,1.831574761728038e-05
mg,86,1.3901,0.10013160854578018,1.6012870224081877e-05
mg,87,1.3996,0.08547049015760422,1.3856505790114187e-05
mg,88,1.3702,0.07168150693178177,1.1849012268226338e-05
mg,89,1.4079,0.12560896575450897,9.992584823110834e-06
mg,90,1.4337,0.1038961336016655,8.289253430923126e-06
mg,91,1.4317,0.10072396695613861,6.7408806595324715e-06
mg,92,1.439,0.11303035914897919,5.349159631831423e-06
mg,93,1.3953,0.10468252003192902,4.1156121743307405e-06
mg,94,1.4237,0.1323743313550949,3.0415871530644233e-06
mg,95,1.3765,0.0647837370634079,2.128258998624549e-06
mg,96,1.4295,0.05549893155694008,1.3766264219386759e-06
mg,97,1.4521,0.0788494348526001,7.875113221940287e-07
mg,98,1.3731,0.08677589148283005,3.6155788810286467e-07
mg,99,1.3883,0.11939776688814163,9.923189349162475e-08
mg,100,1.4186,0.08491320163011551,8.201879839297986e-10
mh,1,1.2642,1.4313511848449707,5.399999999999999e-05
mh,2,1.1792,1.2356289625167847,0.00011399999999999999
mh,3,1.1906,2.319458484649658,0.00017399999999999997
mh,4,1.1383,1.30657958984375,0.000234
mh,5,1.1327,1.5554769039154053,0.000294
mh,6,1.1414,1.1910797357559204,0.00029993356961666504
mh,7,1.1281,1.014772653579712,0.0002997040092642407
mh,8,1.1695,0.5931267738342285,0.00029931074977561806
mh,9,1.1988,1.084445834159851,0.0002987542211742741
mh,10,1.1858,1.3242932558059692,0.0002980350320160635
mh,11,1.1704,0.7905140519142151,0.00029715396872377175
mh,12,1.1416,0.7763035893440247,0.00029611199472717346
mh,13,1.1161,1.1308445930480957,0.00029491024940953557
mh,14,1.1069,1.0293707847595215,0.00029355004686171926
mh,15,1.1571,1.1213171482086182,0.00029203287444524024
mh,16,1.1188,1.5902291536331177,0.00029036039116586096
mh,17,1.1303,1.8516480922698975,0.00028853442585949227
mh,18,1.1133,0.6049690842628479,0.0002865569751923882
mh,19,1.0863,0.8372177481651306,0.0002844302014778205
mh,20,1.0788,7.056876182556152,0.0002821564303116212
mh,21,1.0896,0.5324386954307556,0.00027973814802917727
mh,22,1.1358,0.950738251209259,0.00027717799898665976
mh,23,1.0957,0.5288124680519104,0.0002744787826694589
mh,24,1.1171,0.6728107333183289,0.000271643450630988
mh,25,1.091,0.8154541254043579,0.00026867510326520326
mh,26,1.1021,1.0181524753570557,0.00026557698641636835
mh,27,1.1408,0.7916731238365173,0.0002623524878297714
mh,28,1.1194,0.9291344285011292,0.00025900513344727507
mh,29,1.1352,1.822649359703064,0.0002555385835517515
mh,30,1.0922,0.8976196050643921,0.00025195662876461596
mh,31,1.0719,2.1882400512695312,0.0002482631859008384
mh,32,1.0832,0.7464887499809265,0.00024446229368596387
mh,33,1.1242,0.9002073407173157,0.0002405581083398251
mh,34,1.08,0.8210774660110474,0.0002365548990317775
mh,35,1.0646,0.6550747752189636,0.00023245704321242492
mh,36,1.0922,0.5657540559768677,0.00022826902182694156
mh,37,1.0874,0.842513918876648,0.00022399541441522474
mh,38,1.052,0.6398218274116516,0.00021964089410423456
mh,39,1.1298,1.6372836828231812,0.0002152102224979987
mh,40,1.1223,0.7695410251617432,0.00021070824447086807
mh,41,1.1243,0.4838135242462158,0.00020613988286971802
mh,42,1.0622,0.6735005378723145,0.00020151013313088746
mh,43,1.0983,0.7141257524490356,0.00019682405781774239
mh,44,1.1137,0.4594922661781311,0.00019208678108483746
mh,45,1.1321,0.8628419041633606,0.00018730348307472824
mh,46,1.1063,0.6813238859176636,0.00018247939425356096
mh,47,1.0672,2.378990411758423,0.00017761978969163506
mh,48,1.1007,0.5966342091560364,0.00017272998329519103
mh,49,1.1023,0.9528460502624512,0.000167815321995732
mh,50,1.0877,0.6703149676322937,0.00016288117990323256
mh,51,1.0944,0.8455780744552612,0.0001579329524296285
mh,52,1.0642,1.0978690385818481,0.00015297605038901304
mh,53,1.1167,0.9875192642211914,0.00014801589408099117
mh,54,1.0377,0.7679150700569153,0.00014305790736366135
mh,55,1.0691,0.6167343854904175,0.00013810751172270658
mh,56,1.053,0.7061938047409058,0.00013317012034307936
mh,57,1.0435,0.5521069169044495,0.0001282511321897631
mh,58,1.0246,1.197583794593811,0.0001233559261040837
mh,59,1.0526,0.8650652766227722,0.00011848985492202512
mh,60,1.113,0.8218960762023926,0.00011365823962098206
mh,61,1.0454,0.7343780994415283,0.00010886636350134905
mh,62,1.0628,0.8800584673881531,0.00010411946640930938
mh,63,1.0405,3.749541759490967,9.942273900713996e-05
mh,64,1.0715,19.19951057434082,9.47813170972983e-05
mh,65,1.0652,0.6469073295593262,9.020027600649824e-05
mh,66,1.0584,0.6562336087226868,8.568462503591441e-05
mh,67,1.0503,0.780937910079956,8.123930198358497e-05
mh,68,1.0452,0.6291843056678772,7.686916774500205e-05
mh,69,1.0733,0.594813883304596,7.257900099779394e-05
mh,70,1.0477,0.577183187007904,6.837349297631113e-05
mh,71,1.0119,0.6706105470657349,6.425724234183036e-05
mh,72,1.0751,0.6953122019767761,6.0234750153986346e-05
mh,73,1.0568,0.9927843809127808,5.631041494892882e-05
mh,74,1.0413,0.8607024550437927,5.248852792958801e-05
mh,75,1.0513,2.431776523590088,4.877326827330719e-05
mh,76,1.0321,0.7765638828277588,4.516869856197362e-05
mh,77,1.051,0.9908303618431091,4.1678760339644933e-05
mh,78,1.0496,0.687971293926239,3.830726980252837e-05
mh,79,1.0424,0.5976623296737671,3.505791362602661e-05
mh,80,1.0089,0.7823521494865417,3.1934244933412124e-05
mh,81,1.0139,0.6283625364303589,2.893967941053898e-05
mh,82,1.0518,0.6334478855133057,2.607749157084067e-05
mh,83,1.0613,0.9014856815338135,2.335081117469777e-05
mh,84,1.0401,1.0446498394012451,2.0762619807090657e-05
mh,85,1.0618,0.6469343304634094,1.831574761728038e-05
mh,86,1.0298,0.723223090171814,1.6012870224081877e-05
mh,87,1.0445,0.6494172215461731,1.3856505790114187e-05
mh,88,1.0247,0.8473268151283264,1.1849012268226338e-05
mh,89,1.0658,0.7069327235221863,9.992584823110834e-06
mh,90,1.0754,1.1367106437683105,8.289253430923126e-06
mh,91,1.0552,0.45692670345306396,6.7408806595324715e-06
mh,92,1.0503,0.74076247215271,5.349159631831423e-06
mh,93,1.0057,0.6555306911468506,4.1156121743307405e-06
mh,94,1.0039,2.267014741897583,3.0415871530644233e-06
mh,95,1.0091,0.6237313151359558,2.128258998624549e-06
mh,96,1.0476,0.7287523746490479,1.3766264219386759e-06
mh,97,1.0931,1.0004246234893799,7.875113221940287e-07
mh,98,1.0209,0.8394472002983093,3.6155788810286467e-07
mh,99,1.0435,0.8560556173324585,9.923189349162475e-08
mh,100,1.0316,1.3630577325820923,8.201879839297986e-10
ph,1,1.3142,1.7163511514663696,5.399999999999999e-05
ph,2,1.1782,1.9002071619033813,0.00011399999999999999
ph,3,1.2047,1.0334744453430176,0.00017399999999999997
ph,4,1.1867,1.9395453929901123,0.000234
ph,5,1.19,0.6961676478385925,0.000294
ph,6,1.2123,1.371568202972412,0.00029993356961666504
ph,7,1.1735,0.9428927898406982,0.0002997040092642407
ph,8,1.197,1.8071621656417847,0.00029931074977561806
ph,9,1.185,1.1791995763778687,0.0002987542211742741
ph,10,1.1445,1.458388328552246,0.0002980350320160635
ph,11,1.1546,1.348907709121704,0.00029715396872377175
ph,12,1.1407,0.8825281262397766,0.00029611199472717346
ph,13,1.1314,0.8096168637275696,0.00029491024940953557
ph,14,1.1412,0.7486619353294373,0.00029355004686171926
ph,15,1.1876,1.214275598526001,0.00029203287444524024
ph,16,1.1259,1.1311298608779907,0.00029036039116586096
ph,17,1.0769,0.7791036367416382,0.00028853442585949227
ph,18,1.0807,0.7949382662773132,0.0002865569751923882
ph,19,1.0908,1.7151150703430176,0.0002844302014778205
ph,20,1.0979,1.1309199333190918,0.0002821564303116212
ph,21,1.071,1.6336064338684082,0.00027973814802917727
ph,22,1.1309,1.0466828346252441,0.00027717799898665976
ph,23,1.1423,0.8331394791603088,0.0002744787826694589
ph,24,1.1259,1.7369083166122437,0.000271643450630988
ph,25,1.153,1.2111200094223022,0.00026867510326520326
ph,26,1.114,1.029952883720398,0.00026557698641636835
ph,27,1.1302,0.9437506198883057,0.0002623524878297714
ph,28,1.0905,0.6039018034934998,0.00025900513344727507
ph,29,1.1197,0.7186686396598816,0.0002555385835517515
ph,30,1.1025,0.6488845348358154,0.00025195662876461596
ph,31,1.1174,0.8723164796829224,0.0002482631859008384
ph,32,1.1118,0.47752663493156433,0.00024446229368596387
ph,33,1.1319,1.2752145528793335,0.0002405581083398251
ph,34,1.1236,0.8665258288383484,0.0002365548990317775
ph,35,1.1241,0.8603265285491943,0.00023245704321242492
ph,36,1.0928,0.8951645493507385,0.00022826902182694156
ph,37,1.0831,0.9648687839508057,0.00022399541441522474
ph,38,1.085,0.9490280747413635,0.00021964089410423456
ph,39,1.1072,0.5513952374458313,0.0002152102224979987
ph,40,1.1168,0.7291370034217834,0.00021070824447086807
ph,41,1.1039,1.091744065284729,0.00020613988286971802
ph,42,1.0863,1.0344281196594238,0.00020151013313088746
ph,43,1.106,0.7052245736122131,0.00019682405781774239
ph,44,1.1088,2.1459691524505615,0.00019208678108483746
ph,45,1.1259,0.77689528465271,0.00018730348307472824
ph,46,1.0991,4.331365585327148,0.00018247939425356096
ph,47,1.063,0.9608339667320251,0.00017761978969163506
ph,48,1.1243,0.8967160582542419,0.00017272998329519103
ph,49,1.1422,1.0137678384780884,0.000167815321995732
ph,50,1.1427,0.7666417956352234,0.00016288117990323256
ph,51,1.1143,0.7585280537605286,0.0001579329524296285
ph,52,1.1142,0.6600072383880615,0.00015297605038901304
ph,53,1.1245,0.8153894543647766,0.00014801589408099117
ph,54,1.047,0.557681143283844,0.00014305790736366135
ph,55,1.1002,0.816769003868103,0.00013810751172270658
ph,56,1.0935,0.5309895873069763,0.00013317012034307936
ph,57,1.1036,1.4537495374679565,0.0001282511321897631
ph,58,1.106,1.9322625398635864,0.0001233559261040837
ph,59,1.0874,0.5714607834815979,0.00011848985492202512
ph,60,1.1576,0.7303139567375183,0.00011365823962098206
ph,61,1.122,1.1716768741607666,0.00010886636350134905
ph,62,1.0993,0.626028299331665,0.00010411946640930938
ph,63,1.091,0.9639875292778015,9.942273900713996e-05
ph,64,1.083,0.790707528591156,9.47813170972983e-05
ph,65,1.1108,0.5458223223686218,9.020027600649824e-05
ph,66,1.0811,0.8112456798553467,8.568462503591441e-05
ph,67,1.0665,0.8359911441802979,8.123930198358497e-05
ph,68,1.055,0.4906795918941498,7.686916774500205e-05
ph,69,1.0965,0.5403717160224915,7.257900099779394e-05
ph,70,1.0871,0.7309867143630981,6.837349297631113e-05
ph,71,1.051,0.7233500480651855,6.425724234183036e-05
ph,72,1.0751,0.6446148157119751,6.0234750153986346e-05
ph,73,1.0832,0.8507763147354126,5.631041494892882e-05
ph,74,1.0514,0.7563595175743103,5.248852792958801e-05
ph,75,1.084,0.681878387928009,4.877326827330719e-05
ph,76,1.0288,0.7765767574310303,4.516869856197362e-05
ph,77,1.0648,0.7341336011886597,4.1678760339644933e-05
ph,78,1.0822,0.8456000089645386,3.830726980252837e-05
ph,79,1.0823,0.7985368371009827,3.505791362602661e-05
ph,80,1.049,1.0578358173370361,3.1934244933412124e-05
ph,81,1.0437,0.750579833984375,2.893967941053898e-05
ph,82,1.0622,0.9911403656005859,2.607749157084067e-05
ph,83,1.0881,0.582064151763916,2.335081117469777e-05
ph,84,1.0691,0.5464074015617371,2.0762619807090657e-05
ph,85,1.0654,0.6741809248924255,1.831574761728038e-05
ph,86,1.0588,7.137187957763672,1.6012870224081877e-05
ph,87,1.0798,1.0662741661071777,1.3856505790114187e-05
ph,88,1.0306,0.7027031779289246,1.1849012268226338e-05
ph,89,1.0701,0.7954587340354919,9.992584823110834e-06
ph,90,1.0808,0.6265254616737366,8.289253430923126e-06
ph,91,1.062,0.7496818900108337,6.7408806595324715e-06
ph,92,1.0534,0.8381131291389465,5.349159631831423e-06
ph,93,1.0295,1.2330378293991089,4.1156121743307405e-06
ph,94,1.069,0.7242072820663452,3.0415871530644233e-06
ph,95,1.0382,0.5700183510780334,2.128258998624549e-06
ph,96,1.0831,0.9839873909950256,1.3766264219386759e-06
ph,97,1.0989,0.6377789974212646,7.875113221940287e-07
ph,98,1.0396,3.0221951007843018,3.6155788810286467e-07
ph,99,1.0558,0.5765882730484009,9.923189349162475e-08
ph,100,1.0759,0.7200868725776672,8.201879839297986e-10
