episode,step,eef_x,eef_y,eef_z,gripper,success
4,26,0.02922,0.0086,0.8302,-1.0,1
4,27,0.02828,0.00772,0.82672,-1.0,1
4,28,0.02689,0.00707,0.82272,-1.0,1
4,29,0.02546,0.00679,0.81836,-1.0,1
4,30,0.0235,0.00663,0.81405,1.0,1
4,31,0.02162,0.00659,0.81099,1.0,1
4,32,0.02109,0.00675,0.81025,1.0,1
4,33,0.0208,0.00742,0.81056,1.0,1
4,34,0.02043,0.00826,0.81052,1.0,1
4,35,0.02045,0.00907,0.81295,1.0,1
4,36,0.02066,0.00953,0.81714,1.0,1
4,37,0.02042,0.01035,0.8225,1.0,1
4,38,0.01967,0.0114,0.83073,1.0,1
4,39,0.01833,0.01242,0.84094,1.0,1
4,40,0.01659,0.01361,0.85231,1.0,1
4,41,0.01447,0.01488,0.86415,1.0,1
4,42,0.01189,0.01605,0.87597,1.0,1
